gene_id,chromosome,geneStart,geneEnd,targetsTSS,controlTSS,utr3Segment,target5utr,control5utr,utr3segs.distalSegment,cdsexons,strand,tissue,geneType
FBgn0015791,2L,14353645,14358764,14354646-14355146,14356542-14357042,14357520-14358764,14355146-14355473,14357042-14357271,14358006-14358764,14357341-14357937,+,Heads,dominant
FBgn0020503,2L,17383200,17409698,17384201-17384701,17388842-17389342,17400893-17409711,17384701-17384839,17389342-17389530,17409699-17409711,17385444-17409299,+,Heads,dominant
FBgn0000120,2L,18076769,18081307,18077770-18078270,18078125-18078650,18078270-18081307,18078270-18078496,18078650-18078797,18080147-18081307,18078916-18080086,+,Heads,dominant
FBgn0032746,2L,19047576,19049884,19048577-19049077,19044856-19045356,19047914-19049843,19049077-19049235,19045356-19047362,19049422-19049843,19047420-19049364,+,Heads,dominant
FBgn0003475,2L,20309719,20348386,20341352-20341852,20310720-20311220,20344655-20348386,20341852-20342481,20311220-20312414,20346950-20348386,20322010-20346891,+,Heads,dominant
FBgn0262743,2L,20733109,20750941,20734412-20734912,20734110-20734610,20739192-20750934,20734912-20735090,20734610-20734729,20749528-20750934,20734929-20749388,+,Heads,dominant
FBgn0040297,2L,21103068,21134255,21104069-21104569,21107282-21107782,21130005-21134659,21104569-21105008,21107782-21108227,21134636-21134659,21114594-21131463,+,Heads,dominant
FBgn0000370,2L,21309366,21319527,21310367-21310867,21313861-21314361,21311193-21320971,21310867-21311531,21314361-21315538,21319157-21320971,21311193-21318419,+,Heads,dominant
FBgn0261802,2L,22129721,22166221,22153076-22153576,22133834-22134334,22158513-22166291,22153576-22153706,22134334-22134719,22161678-22166291,22140719-22160349,+,Heads,dominant
FBgn0027066,2R,6747727,6756300,6748728-6749228,6751570-6752070,6752843-6756296,6749228-6749389,6752070-6752231,6755185-6756296,6752632-6755117,+,Heads,dominant
FBgn0029506,2R,7010754,7018362,7011755-7012255,7011986-7012486,7017435-7020746,7012255-7012335,7012486-7013116,7017690-7020746,7013033-7017626,+,Heads,dominant
FBgn0263077,2R,7621742,7651787,7638618-7639118,7622743-7623243,7623243-7651795,7639118-7639268,7623243-7623322,7651788-7651795,7626491-7651208,+,Heads,dominant
FBgn0263120,2R,8664313,8683022,8665672-8666172,8675794-8676294,8678928-8683022,8666172-8666311,8676294-8676334,8681451-8683022,8666768-8681385,+,Heads,dominant
FBgn0028955,2R,9136986,9141981,9138583-9139092,9137987-9138487,9138487-9148512,9139083-9139268,9138487-9138570,9148153-9148512,9138938-9148095,+,Heads,dominant
FBgn0259246,2R,9502265,9541565,9515952-9516452,9503266-9503766,9522938-9541566,9516452-9517572,9503766-9503845,9537139-9541566,9505004-9537076,+,Heads,dominant
FBgn0262169,2R,10051041,10063712,10052042-10052542,10056327-10056827,10062250-10063712,10052542-10052635,10056827-10057343,10063098-10063712,10057049-10063039,+,Heads,dominant
FBgn0004907,2R,10098177,10109687,10100537-10101046,10103616-10104116,10099591-10109880,10101037-10101097,10104116-10104409,10109872-10109880,10104256-10106797,+,Heads,dominant
FBgn0003071,2R,10108240,10117457,10110729-10111230,10110371-10110871,10116737-10117457,10111230-10111575,10110871-10111575,10116737-10117457,10109933-10116657,+,Heads,dominant
FBgn0033504,2R,10267516,10307024,10281123-10281624,10287367-10287867,10278737-10307028,10281623-10284801,10287867-10288011,10286011-10307028,10287074-10305970,+,Heads,dominant
FBgn0033544,2R,10729835,10738370,10735175-10735676,10731029-10731529,10732700-10738617,10735676-10736055,10731529-10731796,10737357-10738617,10731659-10737291,+,Heads,dominant
FBgn0037084,2R,11218039,11222480,11219435-11219935,11219040-11219540,11219935-11222480,11219935-11220621,11219540-11219712,11222339-11222480,11220464-11221629,+,Heads,dominant
FBgn0050035,2R,11664268,11674782,11665269-11665769,11671557-11672057,11673045-11674782,11665769-11665817,11672057-11672298,11674244-11674782,11668422-11674175,+,Heads,dominant
FBgn0004435,2R,12611240,12623197,12612241-12612741,12615288-12615788,12616787-12623197,12612741-12612851,12615788-12615829,12619064-12623197,12613567-12618550,+,Heads,dominant
FBgn0263397,2R,14274630,14300095,14289040-14289540,14275631-14276131,14297897-14300095,14289540-14289659,14276131-14276526,14298375-14300095,14277281-14298213,+,Heads,dominant
FBgn0265974,2R,14524767,14587917,14525768-14526268,14526077-14526577,14584118-14587920,14526268-14527991,14526577-14527991,14587918-14587920,14552912-14584010,+,Heads,dominant
FBgn0033987,2R,14961792,14980795,14965185-14965685,14962793-14963293,14978230-14980795,14965685-14965999,14963293-14963925,14978837-14980795,14971730-14978706,+,Heads,dominant
FBgn0263980,2R,15399596,15471884,15424729-15425229,15424308-15424808,15463298-15471884,15425229-15425666,15424808-15426627,15466849-15471884,15409566-15466773,+,Heads,dominant
FBgn0034145,2R,16606154,16624894,16608629-16609129,16617537-16618037,16618804-16625293,16609129-16609325,16618037-16618143,16623215-16625293,16618804-16623131,+,Heads,dominant
FBgn0034420,2R,19162643,19178223,19163644-19164144,19169724-19170224,19176588-19178360,19164144-19164175,19170224-19170406,19178224-19178360,18993919-19177573,+,Heads,dominant
FBgn0086358,2R,19291029,19304508,19292030-19292530,19297744-19298244,19302675-19304646,19292530-19292860,19298244-19298630,19304642-19304646,19299170-19304165,+,Heads,dominant
FBgn0027529,2R,20317680,20325973,20319997-20320497,20318681-20319181,20320497-20325973,20320497-20320688,20319181-20319337,20325596-20325973,20319795-20325537,+,Heads,dominant
FBgn0004362,2R,21699958,21716727,21713637-21714137,21712857-21713357,21715692-21716727,21714137-21714166,21713357-21713387,21715692-21716727,21715406-21715617,+,Heads,dominant
FBgn0265192,2R,22059450,22069757,22060451-22060951,22067776-22068276,22068736-22085767,22060951-22061260,22068276-22068671,22069726-22085767,22068427-22084924,+,Heads,dominant
FBgn0266377,2R,23656067,23680844,23657068-23657568,23659006-23659506,23678547-23733183,23657568-23658014,23659506-23660533,23680845-23733183,23660394-23732503,+,Heads,dominant
FBgn0004101,2R,24341361,24376473,24343203-24343703,24342362-24342862,24348212-24376473,24343703-24344674,24342862-24344674,24375827-24376473,24348212-24375766,+,Heads,dominant
FBgn0020386,3L,127950,145895,128951-129451,131313-131813,141770-146273,129451-129888,131813-131913,143515-146273,135458-143217,+,Heads,dominant
FBgn0264707,3L,275937,305292,292193-292693,276938-277438,302749-305292,292693-293185,277438-277755,302749-305292,278178-302691,+,Heads,dominant
FBgn0035142,3L,541560,581099,542561-543061,568827-569327,574058-577878,543061-543277,569327-569450,577870-577878,547482-574368,+,Heads,dominant
FBgn0264574,3L,912574,993788,913575-914075,959161-959661,984137-993796,914075-914218,959661-959842,993789-993796,915639-987825,+,Heads,dominant
FBgn0266696,3L,2376155,2499226,2411589-2412089,2428411-2428911,2402555-2499226,2412089-2412303,2428911-2429429,2497279-2499226,2402555-2498346,+,Heads,dominant
FBgn0262593,3L,2893517,2959579,2896244-2896744,2894518-2895018,2944023-2959821,2896744-2896787,2895018-2895094,2957331-2959821,2897244-2956436,+,Heads,dominant
FBgn0005640,3L,3514251,3610521,3515252-3515752,3543081-3543581,3607502-3610523,3515752-3516828,3543581-3543707,3610522-3610523,3516529-3600491,+,Heads,dominant
FBgn0044419,3L,5778551,5784685,5781038-5781538,5779552-5780052,5780837-5785064,5781538-5781722,5780052-5780133,5782917-5785064,5780384-5782849,+,Heads,dominant
FBgn0053523,3L,5922362,5930120,5926372-5926872,5923363-5923863,5926737-5930419,5926872-5927066,5923863-5925322,5930417-5930419,5924837-5929039,+,Heads,dominant
FBgn0035708,3L,6607825,6619113,6609078-6609578,6608826-6609326,6617768-6619154,6609578-6609909,6609326-6609508,6619114-6619154,6615898-6617315,+,Heads,dominant
FBgn0028582,3L,7527280,7540012,7528281-7528781,7531930-7532430,7535196-7538279,7528781-7529186,7532430-7532613,7536976-7538279,7532672-7536769,+,Heads,dominant
FBgn0035879,3L,8345061,8352279,8346062-8346562,8347042-8347542,8348749-8352355,8346562-8347476,8347542-8348053,8351767-8352355,8347775-8351379,+,Heads,dominant
FBgn0024236,3L,8523744,8534503,8524745-8525245,8528213-8528713,8531867-8534503,8525245-8525704,8528713-8531149,8532941-8534503,8530560-8532874,+,Heads,dominant
FBgn0262508,3L,8575308,8599617,8583077-8583577,8585002-8585502,8595553-8599626,8583577-8583766,8585502-8585689,8596307-8599626,8579474-8596103,+,Heads,dominant
FBgn0266101,3L,9459550,9475475,9462108-9462608,9460551-9461051,9470560-9475475,9462608-9464706,9461051-9461559,9474329-9475475,9461888-9474267,+,Heads,dominant
FBgn0261555,3L,9545720,9596713,9583051-9583551,9546721-9547221,9592334-9597171,9583551-9583642,9547221-9547477,9594967-9597171,9552902-9592456,+,Heads,dominant
FBgn0264489,3L,9812347,9834345,9828923-9829423,9815563-9816063,9830634-9834345,9829423-9830069,9816063-9816357,9832928-9834345,9771655-9832866,+,Heads,dominant
FBgn0005536,3L,16050459,16082026,16051460-16051960,16072867-16073367,16077192-16082037,16051960-16052174,16073367-16073470,16082027-16082037,16052755-16077809,+,Heads,dominant
FBgn0261565,3L,16863795,16922487,16910767-16911267,16898916-16899416,16902129-16922496,16911267-16911591,16899416-16902068,16922488-16922496,16866521-16921366,+,Heads,dominant
FBgn0010352,3L,16953322,16968724,16955001-16955501,16956940-16957440,16964824-16968724,16955501-16955542,16957440-16957505,16967382-16968724,16959099-16966358,+,Heads,dominant
FBgn0259720,3L,19262266,19266838,19263905-19264405,19263267-19263767,19264681-19268599,19264405-19264622,19263767-19264096,19268599-19268599,19264327-19265443,+,Heads,dominant
FBgn0036928,3L,19999144,20002446,20000589-20001089,20000127-20000627,20001089-20002540,20001089-20001296,20000627-20000672,20001850-20002540,20000991-20001436,+,Heads,dominant
FBgn0036967,3L,20297910,20309511,20301932-20302432,20307151-20307651,20308747-20309511,20302432-20302502,20307651-20307757,20308747-20309511,20303067-20308616,+,Heads,dominant
FBgn0052425,3L,20495823,20514107,20496824-20497324,20509401-20509901,20509901-20514107,20497324-20497425,20509901-20509960,20513138-20514107,20510030-20513075,+,Heads,dominant
FBgn0259243,3L,20814618,20836048,20819832-20820332,20827725-20828226,20828225-20838839,20820332-20820726,20828226-20828340,20836585-20838839,20816230-20836520,+,Heads,dominant
FBgn0025702,3L,22272485,22284335,22273486-22273986,22276865-22277365,22279614-22284335,22273986-22275438,22277365-22278731,22283203-22284335,22278823-22283149,+,Heads,dominant
FBgn0052451,3L,22747944,22787631,22748945-22749445,22773037-22773537,22783420-22787631,22749445-22749992,22773537-22773716,22785260-22787631,22774738-22784752,+,Heads,dominant
FBgn0041605,3R,4278721,4304604,4281339-4281848,4281206-4281706,4280386-4304645,4281839-4282482,4281706-4282314,4304605-4304645,4282674-4298585,+,Heads,dominant
FBgn0263346,3R,4658079,4712193,4705647-4706147,4659080-4659580,4701158-4712340,4706147-4706365,4659580-4659676,4712194-4712340,4660239-4710720,+,Heads,dominant
FBgn0267698,3R,6349396,6361614,6350397-6350897,6353589-6354089,6359382-6361670,6350897-6350954,6354089-6354250,6359382-6361670,6354914-6359310,+,Heads,dominant
FBgn0266410,3R,9338716,9362994,9340155-9340655,9339717-9340217,9354422-9361253,9340655-9340769,9340217-9340274,9358256-9361253,9342220-9358571,+,Heads,dominant
FBgn0267336,3R,9873181,9995364,9928418-9928918,9874182-9874682,9982279-9995367,9928918-9929726,9874682-9876223,9986897-9995367,9930364-9986833,+,Heads,dominant
FBgn0016693,3R,12695822,12704875,12697332-12697832,12696823-12697323,12703876-12704875,12697832-12699335,12697323-12697538,12703876-12704875,12698119-12703812,+,Heads,dominant
FBgn0038130,3R,13278221,13284527,13279363-13279863,13279222-13279722,13283697-13284946,13279863-13280092,13279722-13280092,13284789-13284946,13282402-13283639,+,Heads,dominant
FBgn0027610,3R,13363438,13369278,13367033-13367533,13364439-13364939,13364939-13369376,13367533-13367668,13364939-13365229,13368252-13369376,13367739-13368161,+,Heads,dominant
FBgn0285913,3R,14287571,14302276,14297726-14298226,14298113-14298613,14298790-14302276,14298226-14298547,14298613-14298692,14301228-14302276,14290730-14301018,+,Heads,dominant
FBgn0003721,3R,15279871,15308779,15290445-15290945,15287511-15288013,15284613-15308779,15290945-15291525,15288013-15289439,15307590-15308779,15284613-15303222,+,Heads,dominant
FBgn0041188,3R,15406923,15417277,15408952-15409452,15407924-15408424,15412579-15417314,15409452-15409534,15408424-15409189,15415104-15417314,15412121-15414974,+,Heads,dominant
FBgn0086370,3R,16185499,16197584,16186500-16187000,16194079-16194579,16196031-16197584,16187000-16187299,16194579-16195094,16196031-16197584,16194579-16195094,+,Heads,dominant
FBgn0250823,3R,16270952,16304768,16272502-16273002,16288795-16289295,16297457-16304863,16273002-16273330,16289295-16289373,16301805-16304863,16274152-16301351,+,Heads,dominant
FBgn0042693,3R,18166257,18180049,18167258-18167758,18172345-18172845,18176307-18181770,18167758-18170098,18172845-18172949,18178606-18181770,18169484-18177048,+,Heads,dominant
FBgn0023083,3R,18571591,18589459,18572592-18573092,18585381-18585881,18584474-18590736,18573092-18573126,18585881-18586067,18590727-18590736,18573192-18590427,+,Heads,dominant
FBgn0038659,3R,18905109,18910755,18906110-18906610,18906232-18906733,18906610-18911118,18906610-18907020,18906732-18907020,18907200-18911118,18907200-18908450,+,Heads,dominant
FBgn0260003,3R,19459585,19597288,19508761-19509261,19568711-19569211,19592823-19597397,19509261-19509390,19569211-19569271,19594500-19597397,19477123-19594398,+,Heads,dominant
FBgn0038826,3R,20755229,20810726,20782484-20782984,20778396-20778896,20804675-20810824,20782984-20783580,20778896-20780827,20805947-20810824,20772796-20802551,+,Heads,dominant
FBgn0002921,3R,20947214,20976239,20957235-20957735,20948215-20948715,20964258-20976239,20957735-20958167,20948715-20948829,20976127-20976239,20959237-20973738,+,Heads,dominant
FBgn0013995,3R,20976683,21015613,20977684-20978184,20989551-20990051,20992241-21015660,20978184-20978248,20990051-20990232,21015614-21015660,20986147-21012665,+,Heads,dominant
FBgn0266758,3R,24543219,24556549,24544220-24544720,24548515-24549015,24554702-24559170,24544720-24545069,24549015-24549139,24556236-24559170,24549685-24555962,+,Heads,dominant
FBgn0039213,3R,24624171,24634714,24625172-24625672,24630092-24630592,24633433-24634715,24625672-24625812,24630592-24630750,24633558-24634715,24631783-24633499,+,Heads,dominant
FBgn0003429,3R,24660991,24711595,24661992-24662492,24667647-24668147,24707273-24711659,24662492-24662563,24668147-24668909,24707273-24711659,24664364-24707216,+,Heads,dominant
FBgn0001215,3R,28598334,28605777,28599335-28599835,28599908-28600408,28602772-28608372,28599835-28599999,28600408-28600568,28607770-28608372,28600706-28607710,+,Heads,dominant
FBgn0004369,3R,29376146,29487131,29377147-29377647,29478817-29479317,29483130-29487131,29377647-29378024,29479317-29479825,29483957-29487131,29382956-29483743,+,Heads,dominant
FBgn0086361,3R,29590331,29617157,29591332-29591832,29592595-29593095,29594227-29617423,29591832-29592167,29593095-29593204,29599232-29617423,29593272-29604581,+,Heads,dominant
FBgn0266411,3R,30056811,30121798,30057812-30058312,30099021-30099521,30111682-30121798,30058312-30059127,30099521-30099918,30120129-30121798,30067075-30112352,+,Heads,dominant
FBgn0027598,3R,30807117,30827005,30808118-30808618,30817115-30817615,30824278-30827432,30808618-30809283,30817615-30818207,30826718-30827432,30816875-30826026,+,Heads,dominant
FBgn0016126,4,444004,453947,445594-446094,445005-445505,452972-458127,446094-447035,445505-447035,457164-458127,446631-452890,+,Heads,dominant
FBgn0013720,X,1469166,1472325,1470349-1470849,1466994-1467494,1470402-1472317,1470849-1471063,1467494-1467617,1471658-1472317,1467697-1471603,+,Heads,dominant
FBgn0025394,X,1481979,1517615,1512571-1513071,1482914-1483414,1514857-1517735,1513071-1513648,1483414-1483558,1517616-1517735,1510754-1515041,+,Heads,dominant
FBgn0000382,X,2092734,2115701,2093735-2094235,2107750-2108250,2110950-2115601,2094235-2094418,2108250-2108294,2111704-2115601,2095010-2111623,+,Heads,dominant
FBgn0260753,X,2550706,2578640,2553604-2554104,2551707-2552207,2576117-2578640,2554104-2554417,2552207-2552274,2576117-2578640,2554264-2576384,+,Heads,dominant
FBgn0040376,X,2579458,2583823,2581947-2582478,2582205-2582705,2582447-2584094,2582478-2582575,2582705-2582826,2582989-2584094,2582705-2582826,+,Heads,dominant
FBgn0001404,X,2587003,2599111,2588004-2588504,2591622-2592122,2595726-2599111,2588504-2589506,2592122-2592348,2597327-2599111,2595726-2597015,+,Heads,dominant
FBgn0025643,X,2918270,2924426,2919271-2919771,2919620-2920120,2921386-2924484,2919771-2919854,2920120-2920385,2923683-2924484,2920010-2923375,+,Heads,dominant
FBgn0262738,X,4321126,4365408,4322127-4322627,4347419-4347919,4360616-4365408,4322627-4323155,4347919-4348030,4361966-4365408,4325348-4360705,+,Heads,dominant
FBgn0028325,X,4700784,4705265,4701785-4702285,4702006-4702506,4704195-4705337,4702285-4702591,4702506-4702591,4704588-4705337,4702692-4704517,+,Heads,dominant
FBgn0085446,X,6539271,6589173,6571424-6571924,6545620-6546120,6551906-6589208,6571924-6572268,6546120-6546472,6589174-6589208,6543093-6588250,+,Heads,dominant
FBgn0016041,X,7735393,7739978,7736862-7737362,7736394-7736894,7738382-7739978,7737362-7737683,7736894-7737166,7738901-7739978,7737322-7738799,+,Heads,dominant
FBgn0261873,X,8177049,8240474,8230115-8230615,8192701-8193201,8238007-8240479,8230615-8230718,8193201-8193506,8240475-8240479,8179453-8238188,+,Heads,dominant
FBgn0030151,X,9777242,9782094,9778243-9778743,9778459-9778959,9781159-9782889,9778743-9778799,9778959-9779242,9781159-9782889,9778868-9780892,+,Heads,dominant
FBgn0001624,X,11368165,11409776,11369166-11369666,11375264-11375764,11387772-11408446,11369666-11369799,11375764-11376718,11406072-11408446,11373817-11405995,+,Heads,dominant
FBgn0030330,X,11718745,11723854,11719985-11720485,11719746-11720246,11722251-11723854,11720485-11721027,11720246-11720532,11722534-11723854,11720584-11722408,+,Heads,dominant
FBgn0030478,X,13369106,13380160,13373581-13374081,13370496-13370996,13378013-13380160,13374081-13374103,13370996-13371060,13378547-13380160,13373863-13379370,+,Heads,dominant
FBgn0265726,X,13690792,13717835,13703038-13703538,13696163-13696663,13713201-13717921,13703538-13704022,13696663-13697243,13716838-13717921,13706148-13716774,+,Heads,dominant
FBgn0003218,X,13761252,13779488,13762253-13762753,13767165-13767665,13769144-13779501,13762753-13762830,13767665-13768157,13779489-13779501,13763069-13776380,+,Heads,dominant
FBgn0026428,X,15331810,15340360,15334642-15335142,15332811-15333311,15335546-15340360,15335142-15335268,15333311-15334063,15339627-15340360,15334990-15338924,+,Heads,dominant
FBgn0000536,X,16276828,16285618,16277829-16278329,16278080-16278580,16284312-16285618,16278329-16278547,16278580-16278761,16285022-16285618,16278694-16284761,+,Heads,dominant
FBgn0030753,X,16439933,16445367,16441054-16441554,16440934-16441434,16444390-16445367,16441554-16442020,16441434-16442020,16444390-16445367,16443493-16444326,+,Heads,dominant
FBgn0265598,X,18513928,18572809,18534164-18534664,18565807-18566307,18566696-18572809,18534664-18535424,18566307-18566624,18570564-18572809,18520718-18567636,+,Heads,dominant
FBgn0027621,X,19494005,19509350,19495006-19495506,19496176-19496676,19504424-19518402,19495506-19495551,19496676-19496787,19515913-19518402,19505767-19515644,+,Heads,dominant
FBgn0027279,X,22485680,22508129,22486661-22487181,22491096-22491596,22487161-22507666,22487181-22487789,22491596-22492421,22507108-22507666,22493481-22506181,+,Heads,dominant
FBgn0003654,X,20227961,20237882,20236198-20236698,20236382-20236882,20227962-20230062,20236083-20236198,20236083-20236382,20227962-20229072,20229140-20235950,-,Heads,dominant
FBgn0259168,X,17862697,17888722,17875040-17875540,17887222-17887722,17862685-17868166,17874405-17875040,17886404-17887222,17862685-17862697,17868982-17878516,-,Heads,dominant
FBgn0030850,X,17623221,17629395,17627895-17628395,17629492-17629992,17623222-17627240,17627429-17627895,17629341-17629492,17623222-17624205,17625530-17629271,-,Heads,dominant
FBgn0030743,X,16331281,16335100,16333600-16334100,16332048-16332548,16328654-16332048,16331809-16333600,16331809-16332048,16328654-16329370,16329515-16332122,-,Heads,dominant
FBgn0030584,X,14837471,14839698,14838198-14838698,14839106-14839606,14836001-14838198,14837814-14838198,14838818-14839106,14836001-14836566,14838818-14839106,-,Heads,dominant
FBgn0030510,X,13677899,13682000,13680398-13680898,13680201-13680701,13677830-13679301,13679896-13680398,13679896-13680201,13677830-13678753,13678855-13679301,-,Heads,dominant
FBgn0265630,X,13195499,13213174,13211674-13212174,13202262-13202762,13195500-13196510,13211100-13211674,13200467-13202262,13195500-13196510,13196597-13206829,-,Heads,dominant
FBgn0283712,X,12584385,12593693,12592193-12592693,12589683-12590183,12584306-12586249,12591931-12592193,12589524-12589683,12584306-12586249,12586310-12590484,-,Heads,dominant
FBgn0261277,X,11152484,11155490,11153802-11154302,11153574-11154074,11152387-11153360,11153617-11153802,11153488-11153574,11152387-11153360,11153488-11153574,-,Heads,dominant
FBgn0020255,X,11144852,11150216,11148580-11149080,11146596-11147096,11144810-11148580,11148486-11148580,11145943-11146596,11144810-11145864,11145943-11146428,-,Heads,dominant
FBgn0285926,X,10787869,10825777,10806856-10807356,10821817-10822317,10796214-10797437,10805266-10806856,10821597-10821817,10796214-10797437,10797508-10821488,-,Heads,dominant
FBgn0003360,X,10780893,10788458,10786907-10787407,10784458-10784958,10778946-10782680,10786806-10786907,10782380-10784458,10778946-10778954,10779993-10782889,-,Heads,dominant
FBgn0085443,X,10490069,10586922,10493736-10494236,10546754-10547254,10490057-10499657,10492752-10493736,10546629-10546754,10490057-10490468,10491506-10585073,-,Heads,dominant
FBgn0263220,X,10233347,10264985,10261334-10261834,10256629-10257129,10234626-10239545,10261255-10261334,10256112-10256629,10234626-10239545,10239679-10259488,-,Heads,dominant
FBgn0011661,X,8873012,8899832,8898332-8898832,8878725-8879225,8872440-8876752,8898184-8898332,8878469-8878725,8872440-8872440,8874189-8891623,-,Heads,dominant
FBgn0040319,X,8102181,8117647,8116147-8116647,8107814-8108314,8102096-8103721,8115992-8116147,8107690-8107814,8102096-8102177,8103788-8115580,-,Heads,dominant
FBgn0259994,X,5625676,5649987,5637594-5638094,5648487-5648987,5625485-5634425,5637535-5637594,5647732-5648487,5625485-5629024,5629385-5648177,-,Heads,dominant
FBgn0014024,X,5318928,5324196,5322489-5322989,5322696-5323196,5318922-5319756,5322390-5322489,5322631-5322696,5318922-5318928,5319654-5322453,-,Heads,dominant
FBgn0262699,X,4667290,4681037,4679537-4680037,4677533-4678033,4667291-4669137,4679265-4679537,4677355-4677533,4667291-4668820,4668904-4676572,-,Heads,dominant
FBgn0052017,4,1137830,1163658,1146529-1147029,1162158-1162658,1137831-1140901,1146470-1146529,1161766-1162158,1137831-1140000,1140487-1145321,-,Heads,dominant
FBgn0264607,4,1035288,1055203,1053703-1054203,1051378-1051878,1035181-1047575,1053498-1053703,1051259-1051378,1035181-1035288,1037476-1050759,-,Heads,dominant
FBgn0039908,4,469409,490494,481970-482470,483803-484303,465476-481704,481811-481970,483501-483803,465476-480762,472578-481704,-,Heads,dominant
FBgn0259214,4,328193,360417,358657-359157,358917-359417,328817-354966,358550-358657,358632-358917,328817-329428,330271-355481,-,Heads,dominant
FBgn0039858,3R,31596642,31614164,31610978-31611478,31609815-31610315,31596643-31602230,31610881-31610978,31609320-31609815,31596643-31599348,31600389-31603073,-,Heads,dominant
FBgn0266579,3R,27639886,27658496,27656795-27657295,27647187-27647687,27634905-27646243,27656206-27656795,27647099-27647187,27634905-27639871,27641842-27647608,-,Heads,dominant
FBgn0051064,3R,27229505,27240585,27239085-27239585,27238114-27238614,27229469-27237846,27238525-27239085,27237973-27238114,27229469-27230444,27230568-27237846,-,Heads,dominant
FBgn0039464,3R,26949692,26959991,26958491-26958991,26953254-26953754,26949683-26951009,26958208-26958491,26953004-26953254,26949683-26950568,26950638-26956589,-,Heads,dominant
FBgn0000064,3R,26254069,26263091,26261412-26261912,26258279-26258779,26254070-26259830,26261158-26261412,26257225-26258279,26254070-26255431,26256474-26258041,-,Heads,dominant
FBgn0051092,3R,25698727,25741965,25720117-25720617,25740465-25740965,25698649-25701455,25719966-25720117,25740245-25740465,25698649-25700026,25699848-25739622,-,Heads,dominant
FBgn0011225,3R,24252826,24272733,24271233-24271733,24259488-24259988,24252827-24253764,24270899-24271233,24259396-24259488,24252827-24253598,24253663-24259249,-,Heads,dominant
FBgn0011725,3R,24196893,24223465,24221965-24222465,24201486-24201986,24196881-24221440,24221793-24221965,24200542-24201486,24196881-24199213,24199275-24220563,-,Heads,dominant
FBgn0020647,3R,23997538,24033327,24031827-24032327,24006578-24007078,23997539-23998768,24031712-24031827,24005688-24006578,23997539-23998768,23998830-24031031,-,Heads,dominant
FBgn0004882,3R,23260610,23282356,23280856-23281356,23270285-23270785,23260589-23266665,23280431-23280856,23269751-23270285,23260589-23266225,23266280-23279558,-,Heads,dominant
